============================================================
  隔夜八步法策略回测
  初始资金: 10万元 | 止盈+2% | 止损-2%
============================================================
步骤1: 从数据库加载数据(服务端游标分批)...
  已加载 100000 条...
  已加载 200000 条...
  已加载 300000 条...
  已加载 400000 条...
  已加载 500000 条...
  已加载 600000 条...
  已加载 700000 条...
  已加载 800000 条...
  已加载 900000 条...
  已加载 1000000 条...
  已加载 1011593 条...
  加载完成: 1011591 条, 5197 只, 耗时68.5s
  日期: 2025-01-02 ~ 2026-05-15
步骤2: 计算MA5...
  MA5完成, 耗时2.7s
步骤3: 计算量比...
  量比完成, 耗时2.0s
步骤4: 计算连板...
  连板完成, 耗时7.4s
  量比覆盖: 985571/1011591 (97.4%)
  MA5覆盖: 985629/1011591 (97.4%)

################################################################################
  回测模式: 只买稳健池(涨幅3%-6%)
################################################################################
  总交易日: 327
  2026-01-08→2026-01-09 | 5只 | 盈亏+733.88 | 资金80,114.60
  2026-01-09→2026-01-12 | 5只 | 盈亏+1,247.72 | 资金81,362.32
  2026-01-12→2026-01-13 | 5只 | 盈亏-1,520.82 | 资金79,841.50
  2026-01-13→2026-01-14 | 5只 | 盈亏+837.60 | 资金80,679.10
  2026-01-14→2026-01-15 | 5只 | 盈亏-1,084.00 | 资金79,595.10
  2026-01-15→2026-01-16 | 5只 | 盈亏+256.16 | 资金79,851.26
  2026-01-16→2026-01-19 | 5只 | 盈亏+36.92 | 资金79,888.18
  2026-01-19→2026-01-20 | 5只 | 盈亏-428.80 | 资金79,459.38
  2026-01-20→2026-01-21 | 5只 | 盈亏+293.30 | 资金79,752.68
  2026-01-21→2026-01-22 | 5只 | 盈亏-6.10 | 资金79,746.58
  2026-01-22→2026-01-23 | 5只 | 盈亏-664.70 | 资金79,081.88
  2026-01-23→2026-01-26 | 5只 | 盈亏-177.42 | 资金78,904.46
  2026-01-26→2026-01-27 | 5只 | 盈亏-1,213.24 | 资金77,691.22
  2026-01-27→2026-01-28 | 5只 | 盈亏+267.42 | 资金77,958.64
  2026-01-28→2026-01-29 | 5只 | 盈亏-1,162.64 | 资金76,796.00
  2026-01-29→2026-01-30 | 5只 | 盈亏-165.88 | 资金76,630.12
  2026-01-30→2026-02-02 | 4只 | 盈亏-1,503.30 | 资金75,126.82
  2026-02-02→2026-02-03 | 5只 | 盈亏+397.00 | 资金75,523.82
  2026-02-03→2026-02-04 | 5只 | 盈亏+16.20 | 资金75,540.02
  2026-02-04→2026-02-05 | 5只 | 盈亏-999.70 | 资金74,540.32
  2026-02-05→2026-02-06 | 5只 | 盈亏-1,024.96 | 资金73,515.36
  2026-02-06→2026-02-09 | 5只 | 盈亏+1,027.48 | 资金74,542.84
  2026-02-09→2026-02-10 | 5只 | 盈亏+407.10 | 资金74,949.94
  2026-02-10→2026-02-11 | 5只 | 盈亏+447.60 | 资金75,397.54
  2026-02-11→2026-02-12 | 5只 | 盈亏-896.68 | 资金74,500.86
  2026-02-12→2026-02-13 | 5只 | 盈亏+154.50 | 资金74,655.36
  2026-02-13→2026-02-24 | 5只 | 盈亏+1,388.40 | 资金76,043.76
  2026-02-24→2026-02-25 | 5只 | 盈亏+868.02 | 资金76,911.78
  2026-02-25→2026-02-26 | 5只 | 盈亏+1,870.74 | 资金78,782.52
  2026-02-26→2026-02-27 | 5只 | 盈亏-1,090.56 | 资金77,691.96
  2026-02-27→2026-03-02 | 5只 | 盈亏-523.88 | 资金77,168.08
  2026-03-02→2026-03-03 | 5只 | 盈亏-1,529.18 | 资金75,638.90
  2026-03-03→2026-03-04 | 5只 | 盈亏-875.32 | 资金74,763.58
  2026-03-04→2026-03-05 | 5只 | 盈亏+326.24 | 资金75,089.82
  2026-03-05→2026-03-06 | 5只 | 盈亏-427.76 | 资金74,662.06
  2026-03-06→2026-03-09 | 5只 | 盈亏+127.18 | 资金74,789.24
  2026-03-09→2026-03-10 | 5只 | 盈亏-177.68 | 资金74,611.56
  2026-03-10→2026-03-11 | 5只 | 盈亏+519.64 | 资金75,131.20
  2026-03-11→2026-03-12 | 5只 | 盈亏+1,434.70 | 资金76,565.90
  2026-03-12→2026-03-13 | 5只 | 盈亏-502.16 | 资金76,063.74
  2026-03-13→2026-03-16 | 5只 | 盈亏-297.80 | 资金75,765.94
  2026-03-16→2026-03-17 | 5只 | 盈亏-869.28 | 资金74,896.66
  2026-03-17→2026-03-18 | 5只 | 盈亏+346.92 | 资金75,243.58
  2026-03-18→2026-03-19 | 5只 | 盈亏-1,434.20 | 资金73,809.38
  2026-03-19→2026-03-20 | 5只 | 盈亏+446.86 | 资金74,256.24
  2026-03-20→2026-03-23 | 5只 | 盈亏-1,412.76 | 资金72,843.48
  2026-03-23→2026-03-24 | 5只 | 盈亏+245.14 | 资金73,088.62
  2026-03-24→2026-03-25 | 5只 | 盈亏+658.48 | 资金73,747.10
  2026-03-25→2026-03-26 | 5只 | 盈亏-91.50 | 资金73,655.60
  2026-03-26→2026-03-27 | 5只 | 盈亏+816.12 | 资金74,471.72
  2026-03-27→2026-03-30 | 5只 | 盈亏-1,431.04 | 资金73,040.68
  2026-03-30→2026-03-31 | 5只 | 盈亏-751.64 | 资金72,289.04
  2026-03-31→2026-04-01 | 5只 | 盈亏-845.80 | 资金71,443.24
  2026-04-01→2026-04-02 | 5只 | 盈亏-1,024.18 | 资金70,419.06
  2026-04-02→2026-04-03 | 4只 | 盈亏+797.92 | 资金71,216.98
